Id,Title,PostedDate,PrimaryLocation,PrimaryLocationCountry,ShortDescriptionStr
227683,Software Engineer Intern - Customer Success Services,2024-04-10T17:47:02+00:00,United States,US,"The Program: Our future success depends on hiring world-class, early in career talent who are looking to power next-generation services and solutions. We are hiring bachelor’s and master’s interns and graduates with a diverse set of skills and experiences to work in and across multiple teams within Customer Success Services organization. Our program is intended to enhance your overall learning experience, help build your network, and accelerate your opportunity to make an impact."
232234,Site Reliability Developer 2 (JoinOCI-Ns2),2024-04-10T13:27:36+00:00,"Reston, VA, United States",US,Site Reliability Developer
235310,Customer Service Analyst 1-Support,2024-04-10T19:22:58+00:00,United States,US,"The Textura Customer Support Representative provides first line support for the Textura Payment Management solution. Interaction with clients is over the phone and through our support portal. Our Client Services Representatives collaborate with other team members to resolve client needs. Along with these responsibilities, other duties such as assisting with training and other special projects will be assigned based on interest and initiative shown."
236051,Support Technician II,2024-04-10T14:21:18+00:00,"Lee's Summit, MO, United States",US,"As a member of this fast-paced, leading edge database/applications company, work with the team to deliver real time 24x7 enterprise-wide technical support for internal and/or external customers. We are looking for a Support Technician II that is self motivated, work with other sites, knows how to identify process improvements and analyze data."
236320,NetSuite Emerging Sales Account Manager - Santa Monica,2024-04-10T00:33:06+00:00,"Santa Monica, CA, United States",US,"We are seeking Sales Account Managers with a successful background selling software, hardware or business services in your area. You’ll maintain relationships within a portfolio of NetSuite customers to ensure the continued adoption and expansion of NetSuite’s cloud-based business operations system, including Enterprise Resource Planning (ERP), Accounting, Customer Relationship Management (CRM), Professional Service Automation (PSA), and eCommerce."
236322,NetSuite Emerging Sales Account Manager - Austin,2024-04-10T00:33:03+00:00,"Austin, TX, United States",US,"We are seeking Sales Account Managers with a successful background selling software, hardware or business services in your area. You’ll maintain relationships within a portfolio of NetSuite customers to ensure the continued adoption and expansion of NetSuite’s cloud-based business operations system, including Enterprise Resource Planning (ERP), Accounting, Customer Relationship Management (CRM), Professional Service Automation (PSA), and eCommerce."
236323,NetSuite Emerging Sales Account Manager - Nashville,2024-04-10T00:32:53+00:00,"Nashville, TN, United States",US,"We are seeking Sales Account Managers with a successful background selling software, hardware or business services in your area. You’ll maintain relationships within a portfolio of NetSuite customers to ensure the continued adoption and expansion of NetSuite’s cloud-based business operations system, including Enterprise Resource Planning (ERP), Accounting, Customer Relationship Management (CRM), Professional Service Automation (PSA), and eCommerce."
236324,NetSuite Emerging Sales Account Manager - Burlington,2024-04-10T00:32:28+00:00,"Burlington, MA, United States",US,"We are seeking Sales Account Managers with a successful background selling software, hardware or business services in your area. You’ll maintain relationships within a portfolio of NetSuite customers to ensure the continued adoption and expansion of NetSuite’s cloud-based business operations system, including Enterprise Resource Planning (ERP), Accounting, Customer Relationship Management (CRM), Professional Service Automation (PSA), and eCommerce."
236523,Product Manager Intern - Corporate Architecture (Oracle Linux),2024-04-10T14:21:58+00:00,"Redwood City, CA, United States",US,"If you're a creative person who loves a challenge, this could be the role for you. Solve the complex puzzles you’ve been dreaming of as our Product Manager Intern – Summer 2024. If you have a passion for innovation in tech, we want you on our team! Thrive in this crucial role. 

This internship will start on June 17th, 2024.

Oracle is a technology leader that’s changing how the world does business. We’re looking for an experienced and self-motivated person. We appreciate you taking the time to review the list of qualifications and to apply for the position. Come and join us."
236547,Oracle NetSuite Business Development Representative -Nashville- June2024,2024-04-10T17:31:28+00:00,"Nashville, TN, United States",US,First contact for prospects of Oracle business via outbound calls. Qualifies Oracle prospects and produces quality leads for the Oracle Sales Force.
236548,Oracle NetSuite Business Development Representative -Chicago- June2024,2024-04-10T17:36:55+00:00,"Chicago, IL, United States",US,First contact for prospects of Oracle business via outbound calls. Qualifies Oracle prospects and produces quality leads for the Oracle Sales Force.
236550,Oracle NetSuite Business Development Representative -Burlington- June2024,2024-04-10T17:43:43+00:00,"Burlington, MA, United States",US,First contact for prospects of Oracle business via outbound calls. Qualifies Oracle prospects and produces quality leads for the Oracle Sales Force.
236568,Product Manager,2024-04-10T20:01:27+00:00,United States,US,"Be a member of a product management team that acts as the central resource and driving force for the design, development and marketing of products and features related to the mission-critical portfolio."
236576,Technical Analyst 1-Support,2024-04-10T20:54:33+00:00,"Kansas City, MO, United States",US,The Immediate Response Center is considered the mission critical support arm of Oracle Health.  We provide phone-based support timely resolutions to even the most critical issues based in healthcare settings (patient care/financial impacts).  We have operated as a team since 1986 and we have several high tenure engineers staffed across each shift team.  New hires will receive specialized training in class and on the job.
224548,Associate Internet Sales Representative,2024-04-09T22:00:02+00:00,"Kansas City, MO, United States",US,We seek an Associate Internet Sales Representative to join our Oracle Health team! 
229601,Bilingual Brazilian Portuguese Invoice Delivery Analyst,2024-04-09T21:48:35+00:00,"San Antonio, TX, United States",US,"As an Invoicing Delivery Analyst supporting our Latin America Division, you will assist in the collection, management, and resolution of outstanding invoices from past due accounts.
  Location: San Antonio, TX local candidates considered
  No sponsorship available
  Fluent/native proficiency Brazilian Portuguese language skills required
"
236445,Cloud Product Release Intern,2024-04-09T22:39:48+00:00,United States,US,"
Position: Cloud Product Release Intern
Department:  Cloud Product Release Group
Location: Remote

The Cloud Product Release Group is part of Oracle’s Product Release Operations and is responsible for ensuring the availability of Oracle's Products and Services in our Fusion Cloud applications according to Oracle standard processes and business practices.  The group accomplishes this through part creation, model configuration, and pricing set up in the Product Management and Pricing applications."
210205,Technical Product Manager,2024-04-08T16:50:44+00:00,United States,US,"Work as part of a team that acts as the central resource and driving force for the design, process, manufacturing, test, quality and marketing of product(s) as they move from conception to distribution. Organize interdepartmental activities ensuring completion of the project/product on schedule and within budget."
234553,Functional Analytics Cloud Engineer,2024-04-08T11:54:14+00:00,United States,US,Seeking a dynamic Analytics Cloud Engineer with functional Oracle Analytics Cloud and Data Warehouse experience. 
235805,"NetSuite Account Executive - Emerging Markets - Burlington, MA",2024-04-08T15:22:40+00:00,"Burlington, MA, United States",US,Ideal candidates are in the early stages of their sales career with 1-3 years of success in a closing sales or business development role selling software.
235808,"NetSuite Account Executive - Emerging Markets - Nashville, TN",2024-04-08T15:21:31+00:00,"Nashville, TN, United States",US,Ideal candidates are in the early stages of their sales career with 1-3 years of success in a closing sales or business development role selling software.
235809,"NetSuite Account Executive - Emerging Markets - Chicago, IL",2024-04-08T15:20:50+00:00,"Chicago, IL, United States",US,Ideal candidates are in the early stages of their sales career with 1-3 years of success in a closing sales or business development role selling software.
235810,"NetSuite Account Executive - Emerging Markets - Austin, TX",2024-04-08T15:19:52+00:00,"Austin, TX, United States",US,Ideal candidates are in the early stages of their sales career with 1-3 years of success in a closing sales or business development role selling software.
235811,"NetSuite Account Executive - Emerging Markets - Denver, CO",2024-04-08T15:17:05+00:00,"Denver, CO, United States",US,Ideal candidates are in the early stages of their sales career with 1-3 years of success in a closing sales or business development role selling software.
235812,"NetSuite Account Executive - Emerging Markets - Santa Monica, CA",2024-04-08T15:17:36+00:00,"Santa Monica, CA, United States",US,Ideal candidates are in the early stages of their sales career with 1-3 years of success in a closing sales or business development role selling software.
235957,"Associate Clinical Consultant - Columbia, MO",2024-04-08T13:33:54+00:00,"Columbia, MO, United States",US,"Hybrid role, on-site 2-3 times weekly to support Emergency Services service line. Must have RN license. This position is located in Columbia, MO."
236261,Oracle NetSuite Business Development Representative - Austin - June2024,2024-04-08T21:37:24+00:00,"Austin, TX, United States",US,First contact for prospects of Oracle business via outbound calls. Qualifies Oracle prospects and produces quality leads for the Oracle Sales Force.
236271,Oracle NetSuite Business Development Representative -Santa Monica - June2024,2024-04-08T22:03:09+00:00,"Santa Monica, CA, United States",US,First contact for prospects of Oracle business via outbound calls. Qualifies Oracle prospects and produces quality leads for the Oracle Sales Force.
236272,Oracle NetSuite Business Development Representative -Denver- June2024,2024-04-08T22:10:34+00:00,"Denver, CO, United States",US,First contact for prospects of Oracle business via outbound calls. Qualifies Oracle prospects and produces quality leads for the Oracle Sales Force.
218303,Data Center Technician (Night Shift),2024-04-05T12:50:10+00:00,"Chicago, IL, United States",US,"Data Center Technician - Day or Night Shift (TBD)
Oracle Cloud Infrastructure (OCI) has an excellent opportunity for a Data Center Technician to help us build and operate the suite at significant scale, where coordinated cloud services are broadly distributed in a multi-tenant cloud environment!  We encourage you to apply and join our team!"
232232,Software Developer Engineer,2024-04-05T00:08:32+00:00,"Seattle, WA, United States",US,"As a Software Engineer, you will be responsible for helping design, build, test, deploy and operate highly scalable services for Oracle Cloud Infrastructure’s Identity and Access division (Operator Access & Bastions)."
211250,Software Engineer Intern - Applications Development,2024-04-04T18:06:01+00:00,United States,US,"Intern Role intended for current students (BS/MS/PhD). Target Start Date: Summer 2024 
"
235534,Change Implementation Analyst,2024-04-04T14:36:32+00:00,"Kansas City, MO, United States",US,"Change Implementation Analyst: If you have the relevant experience/expertise as outlined below, please consider applying to this requisition for consideration.
Titles: Customer Service Admin Support

As a member of the Support organization, you will resolve post-sales customer inquiries via phone and electronic means. Your focus is to provide level two support including problem resolution within published goals using the Knowledge Base, writing product documentation, using Web Resources, Lab Testing, etc. to resolve issues.
"
235568,Solution Analyst,2024-04-04T17:10:25+00:00,"Kansas City, MO, United States",US,Provide client support by performing high-level Oracle Health solution tasks and resolving application-focused issues.
235572,Solution Analyst,2024-04-04T17:16:41+00:00,"Kansas City, MO, United States",US,Provide client support by performing high-level Oracle Health solution tasks and resolving application-focused issues.
235573,Solution Analyst,2024-04-04T17:19:11+00:00,"Kansas City, MO, United States",US,Provide client support by performing high-level Oracle Health solution tasks and resolving application-focused issues.
235574,Solution Analyst,2024-04-04T17:21:07+00:00,"Kansas City, MO, United States",US,Provide client support by performing high-level Oracle Health solution tasks and resolving application-focused issues.
235596,"NetSuite Account Executive - Emerging Markets - Austin, TX",2024-04-04T21:35:33+00:00,"Austin, TX, United States",US,Ideal candidates are in the early stages of their sales career with 1-3 years of success in a closing sales or business development role selling software.
235598,"NetSuite Account Executive - Emerging Markets - Austin, TX",2024-04-04T21:35:35+00:00,"Austin, TX, United States",US,Ideal candidates are in the early stages of their sales career with 1-3 years of success in a closing sales or business development role selling software.
235602,"NetSuite Account Executive - Emerging Markets - Santa Monica, CA",2024-04-04T21:35:48+00:00,"Santa Monica, CA, United States",US,Ideal candidates are in the early stages of their sales career with 1-3 years of success in a closing sales or business development role selling software.
235626,"NetSuite Account Executive - Emerging Markets - Nashville, TN / Burlington, MA",2024-04-04T21:36:07+00:00,"Nashville, TN, United States",US,Ideal candidates are in the early stages of their sales career with 1-3 years of success in a closing sales or business development role selling software.
235629,"NetSuite Account Executive - Emerging Markets - Burlington, MA / Nashville, TN",2024-04-04T21:36:10+00:00,"Burlington, MA, United States",US,Ideal candidates are in the early stages of their sales career with 1-3 years of success in a closing sales or business development role selling software.
235101,HR Analyst,2024-04-03T15:02:32+00:00,"Rocklin, CA, United States",US,"This position requires an onsite presence in our Rocklin, CA office. Local candidates will be considered. Oracle’s HR Services team strives to create and deliver a seamless and positive employee experience across the entire employee lifecycle. Leading with care and empathy, we develop efficient and simple processes, systems, policies, and programs. We deliver data that is useful and accurate to create people-related strategies across the business. We manage people data and build project management capability across HR. Our work also ensures Oracle remains protected and compliant. We strive to provide employees the resources and support they need during the most important moments in their careers."
235234,DevOps Analyst - System Analyst II - Day Shift,2024-04-03T13:15:55+00:00,United States,US,Seeking a talented DevOps Sys Analyst
235236,DevOps Analyst - System Analyst II - Night Shift,2024-04-03T13:24:46+00:00,United States,US,Seeking a talented DevOps Sys Analyst - Night Shift
235263,Data Center Facility Engineer Level 2,2024-04-03T15:56:26+00:00,"Ashburn, VA, United States",US,"Oracle Cloud Infrastructure is seeking a Data Center Facilities Engineer for our facilities in Ashburn, VA If you are familiar with how the technology industry has evolved in the last decade, you will know that everybody’s online presence is moving to the cloud and that needs to live somewhere. In 2023, Oracle is a leader in every layer of the cloud; Iaas, PaaS, SaaS as well as hosting our own corporate infrastructure. Our Ashburn facilities are critical assets and we are seeking an engineer with expertise in mission critical environments. If you have exceptional attention to detail, superior technical expertise, and a desire to grow and develop your professional skills within a challenging and complex environment, we are looking for you!
"
235264,Data Center Facility Engineer Level 2,2024-04-03T16:04:21+00:00,"Ashburn, VA, United States",US,"Oracle Cloud Infrastructure is seeking a Data Center Facilities Engineer for our facilities in Ashburn. VA If you are familiar with how the technology industry has evolved in the last decade, you will know that everybody’s online presence is moving to the cloud and that needs to live somewhere. In 2023, Oracle is a leader in every layer of the cloud; Iaas, PaaS, SaaS as well as hosting our own corporate infrastructure. Our Ashburn facilities are critical assets and we are seeking an engineer with expertise in mission critical environments. If you have exceptional attention to detail, superior technical expertise, and a desire to grow and develop your professional skills within a challenging and complex environment, we are looking for you!"
235342,Member of Technical Staff,2024-04-03T23:26:45+00:00,United States,US,We are looking for top notch engineers who are passionate about security and cloud technologies to join the OCI Security Analytics & Machine Learning team. The ideal candidate is an innovative self-starter who is looking to drive the development and delivery of large scale services.
218095,UX Design Intern - Applications Development,2024-04-02T15:30:36+00:00,United States,US,"Grow your UX Design Career with Oracle Design 
Oracle Design is seeking current undergraduate junior students and graduating seniors who are looking to enter the exciting world of User Experience (UX) Design in Summer 2024. Thrive in this crucial role! We are a group of 600+ multi-disciplinary creatives from around the globe, dedicated to making the design profession more accessible and inclusive. Come and join our diverse and dynamic team to create brand-new applications that connect, empower, and delight our users. We are excited to work with you early in your career.
"
235072,Change Implementation Analyst,2024-04-02T20:10:24+00:00,"Kansas City, MO, United States",US,Change Implementation Analyst
234555,Oracle Health Delivery Consultant I Onsite,2024-04-01T13:26:28+00:00,"Winona, MN, United States",US,Oracle Health Delivery Consultant I Onsite
234586,Customer Success Intern,2024-04-01T19:01:38+00:00,United States,US,"As a member of Oracle's Support Organization, you will be responsible for answering inbound customer calls and emails as it pertains to their support renewals. Following up on a subset of renewals in varying sized and customers in an assigned manner. You will educate customers on business practices and any associated contractual implications. Ensure customer awareness and understanding of applicable elements of the Support Portfolio. Manage exceptions for customers with issues that may delay or inhibit renewals. Identify and transfer leads to sales reps for new opportunities. Accurately forecast business targets and opportunities in assigned accounts."
234397,Solution Analyst,2024-03-29T14:35:24+00:00,"Kansas City, MO, United States",US,Provide client support by performing high-level Oracle Health solution tasks and resolving application-focused issues.
234398,Solution Analyst,2024-03-29T14:38:00+00:00,"Kansas City, MO, United States",US,Provide client support by performing high-level Oracle Health solution tasks and resolving application-focused issues.
234423,Functional EPM Cloud Engineer,2024-03-29T17:28:17+00:00,United States,US,Seeking a dynamic junior EPM Cloud Engineer with functional Oracle Cloud EPM experience.
232023,Business Development Manager - Inside Sales,2024-03-27T19:10:58+00:00,United States,US, Business Development Manager supporting North America.
220381,Senior Material Handler-Receiving,2024-03-26T20:01:16+00:00,"Redwood City, CA, United States",US,"Department
Oracle Manufacturing and Distribution (M&D) is responsible for distribution of network, desktop hardware, software, and marketing material to Oracle’s internal and external customers worldwide. M&D's mission is to continually deliver high-quality products, services, and interactions, on time, to our customers."
227225,Software Engineer,2024-03-22T22:21:49+00:00,"Seattle, WA, United States",US,"Looking for a Java / C++ software developer with passion and drive. Knowledge of Python, RESTful APIs, Cloud Technologies will be considered a strong plus."
232824,Technical Program Manager (Customer Success Services),2024-03-22T15:57:06+00:00,"Austin, TX, United States",US,"Our future success depends on hiring world-class, early in career talent who are looking to power next-generation services and solutions. We are hiring bachelor’s graduates with a diverse set of skills and experiences to work in and across multiple teams within the Customer Success Services organization. Our program is intended to enhance your overall learning experience, help build your network, and accelerate your opportunity to make an impact. "
233590,Oracle Financing Division (OFD) Intern,2024-03-22T19:36:20+00:00,"Broomfield, CO, United States",US,"As a member of OFD’s Global Strategy & Sales Enablement team, you’ll work closely with a group of experts handling demand generation, data analysis, report generation, graphic design, tool development, campaign and program management, UX/UI design, and more. The internship offers an outstanding opportunity to build global experience while working closely with sales, marketing, and other strategic functions throughout the world."
